feature,importance
employment_type_Full Time,0.24737433
title_level_manager,0.14754224
employment_type_Internship,0.1093241
title_level_junior,0.05927296
exp_years,0.052269608
title_level_senior,0.04048144
title_level_director,0.036099397
title_level_head,0.035258833
employment_type_Freelance / Project,0.034039468
title_level_other,0.033331092
employment_type_Part Time,0.0275555
title_level_intern,0.022606248
title_level_lead,0.021653958
work_mode_Remote,0.01850293
job_category,0.012574305
work_mode_On-site,0.01109624
top_skill,0.011093875
title_level_chief,0.011073657
second_skill,0.010896029
title_level_associate,0.01061912
country,0.010431329
employment_type_Shift Based,0.010073058
city,0.009824326
skills_count,0.009314084
work_mode_Hybrid,0.0076918416
employment_type_Volunteering,0.0
