employment_type,work_mode,experience_level,job_category,exp_years,city,country,skills_count,top_skill,second_skill
Part Time,Remote,Experienced,Accounting/Finance,6.0,Jeddah,Saudi Arabia,3,Accounting,Finance
Full Time,On-site,Experienced,Accounting/Finance,5.5,Giza,Egypt,8,Financial Reporting,General Ledger Management
Full Time,On-site,Experienced,Accounting/Finance,4.0,Cairo,Egypt,3,Accounting,ERP
Full Time,On-site,Experienced,Installation/Maintenance/Repair,5.0,Cairo,Egypt,7,CAD,Installations
Full Time,On-site,Manager,R&D/Science,10.0,Cairo,Egypt,7,Pharmaceutical,Research
Full Time,Remote,Experienced,Sales/Retail,5.0,Cairo,Egypt,8,Cold Calling,B2B Sales
Full Time,On-site,Experienced,Analyst/Research,6.0,Cairo,Egypt,2,MIS,Financial Data Analysis
Full Time,Remote,Experienced,Writing/Editorial,5.0,Alexandria,United States,7,Social Media,Instagram
Full Time,On-site,Experienced,Manufacturing/Production,4.0,Sharqia,Egypt,8,Engineering,Steel Industry
Full Time,On-site,Entry Level,Human Resources,2.0,Qalubia,Egypt,6,Human Resources (HR),Interviewing
Full Time,On-site,Experienced,Engineering - Mechanical/Electrical,3.5,Cairo,Egypt,2,Engineering,Sales
Full Time,On-site,Entry Level,Customer Service/Support,2.0,Cairo,Egypt,3,Customer Care,Customer Service
Full Time,On-site,Entry Level,Engineering - Construction/Civil/Architecture,1.0,Sharqia,Egypt,8,Unknown,Unknown
Full Time,Hybrid,Experienced,Operations/Management,4.0,Qalubia,Egypt,5,greenfuel,alternative fuel
Full Time,On-site,Experienced,Accounting/Finance,5.0,Cairo,Egypt,2,Accounting,Finance
Full Time,On-site,Experienced,Medical/Healthcare,2.0,Cairo,Egypt,6,Medical,Pharmacy
Full Time,On-site,Experienced,Engineering - Mechanical/Electrical,3.5,Cairo,Egypt,6,Engineering,Design
Full Time,Remote,Entry Level,Marketing/PR/Advertising,4.0,Dubai,United Arab Emirates,3,Sales,Marketing
Full Time,Remote,Manager,Business Development,7.5,Dallas,United States,7,Sales,Sales Target
Full Time,On-site,Experienced,Customer Service/Support,4.5,Giza,Egypt,8,Call Center,Customer Care
Full Time,On-site,Experienced,Legal,6.0,Cairo,Egypt,8,Legal Affairs,lawyer
Full Time,On-site,Experienced,Engineering - Mechanical/Electrical,4.0,Giza,Egypt,8,AutoCAD,Electrical Design
Full Time,Hybrid,Senior Management,Operations/Management,4.5,Cairo,Egypt,7,Engineering,Technical Office
Full Time,On-site,Experienced,Marketing/PR/Advertising,6.0,Sharqia,Egypt,7,Digital Marketing,E-Commerce
Full Time,On-site,Experienced,Human Resources,4.0,Cairo,Egypt,5,HR,Human Resources (HR)
Full Time,On-site,Experienced,Manufacturing/Production,6.5,Giza,Egypt,5,Engineering,Mechanical
Full Time,On-site,Experienced,IT/Software Development,5.0,Cairo,Egypt,3,Communication,Computer Science
Full Time,Remote,Entry Level,Business Development,1.0,Cairo,Egypt,7,Dutch,Native Dutch
Full Time,On-site,Experienced,Accounting/Finance,5.5,Cairo,Egypt,5,Accounting,Financial Analysis
Full Time,On-site,Experienced,IT/Software Development,8.0,Cairo,Egypt,6,Java,Angular
Full Time,On-site,Experienced,Engineering - Mechanical/Electrical,7.5,Giza,Egypt,5,Electrical Engineering,Electrical Design Engineering
Full Time,On-site,Experienced,Marketing/PR/Advertising,4.0,Cairo,Egypt,3,MS Office,CRM
Full Time,On-site,Experienced,Engineering - Mechanical/Electrical,6.0,Giza,Egypt,7,Mechanical Design,Mechanical Design Engineering
Full Time,On-site,Experienced,IT/Software Development,3.0,Cairo,Egypt,2,Data Analysis,Information Technology (IT)
Full Time,On-site,Experienced,Education/Teaching,5.0,Cairo,Egypt,8,Teaching,Class Management
Full Time,On-site,Entry Level,Accounting/Finance,0.5,Cairo,Egypt,2,Accounting,Finance
Full Time,On-site,Experienced,Manufacturing/Production,5.0,Cairo,Egypt,2,Electronics,Maintenance
Internship,On-site,Entry Level,Administration,,Cairo,Egypt,2,Marketing Research,Sales
Full Time,On-site,Experienced,IT/Software Development,6.0,Giza,Egypt,3,Software Development,JavaScript
Part Time,Remote,Entry Level,IT/Software Development,3.0,Riyadh,Saudi Arabia,8,React,Next.js
Full Time,On-site,Experienced,Human Resources,2.0,Cairo,Egypt,8,Recruitment,Sourcing
